0, GPU-75341d61-b0b3-969b-8ef8-4b750d11ade4, NVIDIA GeForce RTX 4070 SUPER, 12282 MiB, 2 MiB
1, GPU-49f8dc6e-3362-d9b2-d1da-8755345e8f96, Tesla V100-SXM2-16GB, 16384 MiB, 1 MiB
