layer_id,layer_type,routed_format,samples,pre_router_mean_ms,pre_router_p50_ms,pre_router_p90_ms,pre_router_p95_ms,pre_router_p99_ms,router_mean_ms,router_p50_ms,router_p90_ms,router_p95_ms,router_p99_ms,shared_gap_mean_ms,shared_gap_p50_ms,shared_gap_p90_ms,shared_gap_p95_ms,shared_gap_p99_ms,routed_tail_mean_ms,routed_tail_p50_ms,routed_tail_p90_ms,routed_tail_p95_ms,routed_tail_p99_ms,layer_total_mean_ms,layer_total_p50_ms,layer_total_p90_ms,layer_total_p95_ms,layer_total_p99_ms
17,gdn,nvfp4,256,0.8499993757359334,0.8202239973470569,0.9891840000636876,1.0593280447646976,1.0968575850594788,0.05414487351663411,0.05324798822402954,0.05479997396469116,0.0596480667591095,0.06451201438903809,0.2016336212400347,0.1884160041809082,0.2723679542541504,0.2805759906768799,0.2856959640979767,0.8436223808676004,0.8376320600509644,0.8596161007881165,0.8980560302734375,0.9178624212741852,1.9494002513602027,1.9020799999125302,2.1841920320875943,2.27456001448445,2.3552336388733237
18,gdn,nvfp4,256,0.38560537341982126,0.3840000629425049,0.38604795932769775,0.38732802867889404,0.41927678585052464,0.05183938052505255,0.052223920822143555,0.052224159240722656,0.052224159240722656,0.05416966676712034,0.11545262951403856,0.11158394813537598,0.1464320421218872,0.15385597944259644,0.17612801790237426,0.819223121739924,0.8192000389099121,0.8289439678192139,0.8325121402740479,0.8432129144668579,1.3721205051988363,1.368064045906067,1.401856005191803,1.4103040099143982,1.4702223658561704
19,full_attention,nvfp4,256,0.34973737224936485,0.3491840362548828,0.350208044052124,0.350208044052124,0.35169287919998166,0.051938626915216446,0.052223920822143555,0.052224159240722656,0.052224159240722656,0.053247928619384766,0.09467325545847416,0.09318423271179199,0.0942080020904541,0.09728002548217773,0.10137605667114258,0.6958529939875007,0.6952959299087524,0.7162879705429077,0.7239680290222168,0.7424000382423401,1.1922022486105561,1.1888799667358398,1.210368037223816,1.2178400754928589,1.2398591041564941
20,gdn,nvfp4,256,0.38622213900089264,0.3860478401184082,0.38911962509155273,0.38912010192871094,0.3916288137435913,0.05213848315179348,0.05222368240356445,0.053247928619384766,0.0535198450088501,0.05727055072784421,0.09554489329457283,0.09318399429321289,0.09934401512145996,0.10731208324432373,0.11970555782318112,0.7962400019168854,0.7992160320281982,0.8171355724334717,0.8202238082885742,0.8307199954986572,1.3301455173641443,1.3301763534545898,1.356287956237793,1.3652480840682983,1.3752830505371092
21,gdn,nvfp4,256,0.38031324930489063,0.37990427017211914,0.38092803955078125,0.38195180892944336,0.3839998245239258,0.051643131300807,0.05120038986206055,0.052224159240722656,0.052224159240722656,0.052224159240722656,0.09562112390995026,0.09318399429321289,0.10035181045532227,0.10572803020477295,0.12540647983551023,0.7921041045337915,0.7946240901947021,0.8130559921264648,0.8171520233154297,0.8262476444244384,1.3196816090494394,1.318943977355957,1.3429760932922363,1.3529599905014038,1.3823997735977174
22,gdn,nvfp4,256,0.3822255115956068,0.38195180892944336,0.3850240707397461,0.3860478401184082,0.3880958557128906,0.05194337107241154,0.05222368240356445,0.052224159240722656,0.052224159240722656,0.053247928619384766,0.09456049278378487,0.09318399429321289,0.09728002548217773,0.09933638572692871,0.11939837932586661,0.801884250715375,0.7966723442077637,0.8222718238830566,0.8947441577911377,0.9426941871643065,1.3306136261671782,1.3240320682525635,1.3578238487243652,1.4256640672683716,1.4681089878082274
23,full_attention,nvfp4,256,0.348977267742157,0.3491840362548828,0.3502082824707031,0.3502082824707031,0.3521539211273193,0.05170326307415962,0.05120086669921875,0.052224159240722656,0.052224159240722656,0.053145980834960915,0.09417225047945976,0.094207763671875,0.09422445297241211,0.09830403327941895,0.10137557983398438,0.674189604818821,0.6743044853210449,0.6973438262939453,0.705535888671875,0.7193091392517089,1.1690423861145973,1.169407844543457,1.1914238929748535,1.198080062866211,1.212416124343872
24,gdn,nvfp4,256,0.40615314245224,0.3860483169555664,0.45926380157470703,0.47872042655944824,0.5053440570831298,0.05239484831690788,0.052224159240722656,0.05324840545654297,0.054271697998046875,0.05939197540283203,0.11411638930439949,0.09625530242919922,0.1679363250732422,0.172288179397583,0.17866559028625487,0.7942860163748264,0.7920641899108887,0.8202238082885742,0.8222715854644775,0.8318169593811034,1.3669503964483738,1.3250718116760254,1.5022082328796387,1.5096325874328613,1.5497725486755372
25,gdn,nvfp4,256,0.3818492740392685,0.38195133209228516,0.3839998245239258,0.3850240707397461,0.388096284866333,0.053255345672369,0.052224159240722656,0.056319236755371094,0.05939197540283203,0.05985245704650878,0.09553609415888786,0.09216022491455078,0.09932804107666016,0.10752010345458984,0.13168668746948234,0.7907571643590927,0.7925758361816406,0.8130559921264648,0.8163845539093018,0.8258049964904784,1.321397878229618,1.3199357986450195,1.3506555557250977,1.357055902481079,1.386854600906372
26,gdn,nvfp4,256,0.3825090043246746,0.38195228576660156,0.3829765319824219,0.3839998245239258,0.3880958557128906,0.0519876703619957,0.05222320556640625,0.052224159240722656,0.052224159240722656,0.05267415046691894,0.09667245671153069,0.09625530242919922,0.09932756423950195,0.10060834884643555,0.11939835548400846,0.7828288786113262,0.7787518501281738,0.8063998222351074,0.8133118152618408,0.8273070335388183,1.3139980100095272,1.3096952438354492,1.3348002433776855,1.3429756164550781,1.3796865463256833
