candidate_count,transfer_bytes,samples,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,effective_gib_per_second_at_p50
1,1769488,200,0.555058721601963,0.5530399978160858,0.5635712206363678,0.5656239777803421,0.5713382244110108,2.979828089141622
2,3538976,200,1.1014779216051103,1.1004799604415894,1.1026368498802186,1.1115567982196808,1.1154092347621918,2.994991602118617
4,7077952,200,2.1994793677330016,2.1987199783325195,2.1998432636260987,2.2010097026824953,2.2165455126762392,2.998042745144815
8,14155904,200,4.396237115859986,4.395648002624512,4.3969597816467285,4.397968077659607,4.408651480674743,2.99926494373934
16,28311808,200,8.788947830200195,8.78825569152832,8.790179538726807,8.797104167938233,8.801984157562256,3.0003025451338092
24,42467712,200,13.182514896392822,13.18126392364502,13.185046672821045,13.192707395553589,13.20227912902832,3.0005573901695732
32,56623616,200,17.577211694717406,17.5753755569458,17.584840965270995,17.58918981552124,17.598466033935548,3.000496442667329
